from	to	roles	
ChristianB	RescueDawn	Dieter Dengler##	
CubaG	JerryMaguire	Rod Tidwell##	
CubaG	WhatDreamsMayCome	Albert Lewis##	
CubaG	AFewGoodMen	Cpl. Carl Hammaker##	
CubaG	AsGoodAsItGets	Frank Sachs##	
JimB	CloudAtlas	Vyvyan Ayrs#Timothy Cavendish#Captain Molyneux##	
NaomieH	NinjaAssassin	Mika Coretti##	
GregK	AsGoodAsItGets	Simon Bishop##	
GregK	YouveGotMail	Frank Navasky##	
ReneeZ	JerryMaguire	Dorothy Boyd##	
JuliaR	CharlieWilsonsWar	Joanne Herring"##	
TomH	ThePolarExpress	Hero Boy#Santa Claus#Scrooge#Hobo#Conductor#Father##	
TomH	ALeagueofTheirOwn	Jimmy Dugan##	
TomH	TheDaVinciCode	Dr. Robert Langdon##	
TomH	SleeplessInSeattle	Sam Baldwin##	
TomH	CastAway	Chuck Noland##	
TomH	CharlieWilsonsWar	Rep. Charlie Wilson##	
TomH	CloudAtlas	Zachry#Dermot Hoggins#Isaac Sachs#Dr. Henry Goose##	
TomH	YouveGotMail	Joe Fox##	
TomH	JoeVersustheVolcano	Joe Banks##	
TomH	TheGreenMile	Paul Edgecomb##	
TomH	ThatThingYouDo	Mr. White##	
TomH	Apollo13	Jim Lovell##	
DavidM	" Howell"""""	Brutus Brutal##	
IceT	JohnnyMnemonic	J-Bone##	
JamesM	AFewGoodMen	Pfc. Louden Downey##	
EdH	Apollo13	Gene Kranz##	
YeoJeongJo	Parasite	Yeon Kyo##	
ZazieBeetz	Joker	Sophie Dumond##	
JohnC	StandByMe	"[""Denny Lachance""]"##	
ReginaK	JerryMaguire	"[""Marcee Tidwell""]"##	
KellyP	JerryMaguire	Avery Bishop##	
Hugo	VforVendetta	V##	
Hugo	TheMatrix	Agent Smith##	
Hugo	TheMatrixRevolutions	Agent Smith##	
Hugo	CloudAtlas	Bill Smoke#Old Georgie#Haskell Moore#Tadeusz Kesselring#Nurse Noakes#Boardman Mephi##	
Hugo	TheMatrixReloaded	Agent Smith##	
GaryS	TheGreenMile	Burt Hammersmith##	
GaryS	Apollo13	Ken Mattingly##	
Keanu	TheMatrix	Neo##	
Keanu	TheMatrixRevolutions	Neo##	
Keanu	JohnnyMnemonic	Johnny Mnemonic##	
Keanu	TheReplacements	Shane Falco##	
Keanu	TheDevilsAdvocate	Kevin Lomax##	
Keanu	SomethingsGottaGive	Julian Mercer##	
Keanu	TheMatrixReloaded	Neo##	
AudreyT	TheDaVinciCode	Sophie Neveu##	
MichaelS	FrostNixon	David Frost##	
KieferS	AFewGoodMen	Lt. Jonathan Kendrick##	
KieferS	StandByMe	Ace Merrill##	
SunKyunLee	Parasite	Dong Ik##	
KevinB	FrostNixon	Jack Brennan##	
KevinB	AFewGoodMen	Capt. Jack Ross##	
KevinB	Apollo13	Jack Swigert##	
WernerH	WhatDreamsMayCome	The Face##	
KellyM	TopGun	Charlie##	
KangHoSong	Parasite	Ki Taek##	
AaronS	AFewGoodMen	Man in Bar##	
DaveC	YouveGotMail	Kevin Jackson##	
LivT	ThatThingYouDo	Faye Dolan##	
Laurence	TheMatrix	Morpheus##	
Laurence	TheMatrixRevolutions	Morpheus##	
Laurence	TheMatrixReloaded	Morpheus##	
JohnH	VforVendetta	High Chancellor Adam Sutler##	
StephenR	VforVendetta	Eric Finch##	
Al	TheDevilsAdvocate	John Milton##	
JerryO	JerryMaguire	Frank Cushman##	
JerryO	StandByMe	Vern Tessio##	
RichardH	Unforgiven	English Bob##	
NoahW	AFewGoodMen	Cpl. Jeffrey Barnes##	
JohnG	SpeedRacer	Pops##	
NatalieP	VforVendetta	Evey Hammond##	
JamesC	TheGreenMile	Warden Hal Moores##	
JamesC	SnowFallingonCedars	Judge Fielding##	
ValK	TopGun	Iceman##	
MaxS	WhatDreamsMayCome	The Tracker##	
MaxS	SnowFallingonCedars	Nels Gudmundsson##	
BonnieH	JerryMaguire	Laurel Boyd##	
BonnieH	TheGreenMile	Jan Edgecomb##	
MarshallB	RescueDawn	Admiral##	
MarshallB	StandByMe	Mr. Lachance##	
AnnabellaS	WhatDreamsMayCome	Annie Collins-Nielsen##	
LoriP	ALeagueofTheirOwn	Kit Keller##	
BillPax	ALeagueofTheirOwn	Bob Hinson##	
BillPax	Twister	Bill Harding##	
BillPax	Apollo13	Fred Haise##	
ParkerP	YouveGotMail	Patricia Eden##	
Emil	TheMatrix	Emil##	
HelenH	AsGoodAsItGets	Carol Connelly##	
HelenH	CastAway	Kelly Frears##	
HelenH	Twister	Dr. Jo Harding##	
Takeshi	JohnnyMnemonic	Takahashi##	
PhilipH	CharlieWilsonsWar	Gust Avrakotos##	
PhilipH	Twister	Dustin (Dusty) Davis##	
BillyC	WhenHarryMetSally	Harry Burns##	
Orlando	TheReplacements	Clifford Franklin##	
CoreyF	StandByMe	Teddy Duchamp##	
DannyD	OneFlewOvertheCuckoosNest	Martini##	
DannyD	Hoffa	Robert (Bobby) Ciaro##	
VictorG	SleeplessInSeattle	Greg##	
Robin	WhatDreamsMayCome	Chris Nielsen##	
Robin	TheBirdcage	Armand Goldman##	
Robin	BicentennialMan	Andrew Marin##	
AnthonyE	TopGun	Goose##	
SoDamPark	Parasite	Ki Jung##	
SusanS	SpeedRacer	Mom##	
BenM	VforVendetta	Dascomb##	
BenM	NinjaAssassin	Ryan Maslow##	
BenM	SpeedRacer	"[""Cass Jones""]"##	
RiverP	StandByMe	Chris Chambers##	
CarrieF	WhenHarryMetSally	Marie##	
WooSikChoi	Parasite	Ki Woo##	
Madonna	ALeagueofTheirOwn	(All the Way) Mae Mordabito##	
Rain	NinjaAssassin	Raizo##	
Rain	SpeedRacer	"[""Taejo Togokahn""]"##	
FrankL	FrostNixon	Richard Nixo##	
ChristopherG	AFewGoodMen	Dr. Stone##	
Gene	Unforgiven	Little Bill Daggett##	
Gene	TheBirdcage	Sen. Kevin Keeley##	
Gene	TheReplacements	Jimmy McGinty##	
ClintE	Unforgiven	Bill Munny##	
Nathan	TheBirdcage	Albert Goldman##	
Nathan	JoeVersustheVolcano	Baw##	
JonathanL	JerryMaguire	Ray Boyd##	
Charlize	TheDevilsAdvocate	Mary Ann Lomax##	
Charlize	ThatThingYouDo	Tina##	
RosieO	ALeagueofTheirOwn	Doris Murphy##	
